Year,stat,value
1,TRB,5.5
1,AST,5.9
1,STL,1.6
1,BLK,0.7
1,PTS,20.9
2,TRB,7.4
2,AST,7.2
2,STL,2.2
2,BLK,0.7
2,PTS,27.2
3,TRB,7
3,AST,6.6
3,STL,1.6
3,BLK,0.8
3,PTS,31.4
4,TRB,6.7
4,AST,6
4,STL,1.6
4,BLK,0.7
4,PTS,27.3
5,TRB,7.9
5,AST,7.2
5,STL,1.8
5,BLK,1.1
5,PTS,30
6,TRB,7.6
6,AST,7.2
6,STL,1.7
6,BLK,1.1
6,PTS,28.4
7,TRB,7.3
7,AST,8.6
7,STL,1.6
7,BLK,1
7,PTS,29.7
8,TRB,7.5
8,AST,7
8,STL,1.6
8,BLK,0.6
8,PTS,26.7
9,TRB,7.9
9,AST,6.2
9,STL,1.9
9,BLK,0.8
9,PTS,27.1
10,TRB,8
10,AST,7.3
10,STL,1.7
10,BLK,0.9
10,PTS,26.8
11,TRB,6.9
11,AST,6.3
11,STL,1.6
11,BLK,0.3
11,PTS,27.1
12,TRB,6
12,AST,7.4
12,STL,1.6
12,BLK,0.7
12,PTS,25.3
13,TRB,7.4
13,AST,6.8
13,STL,1.4
13,BLK,0.6
13,PTS,25.3
14,TRB,8.6
14,AST,8.7
14,STL,1.2
14,BLK,0.6
14,PTS,26.4
15,TRB,8.6
15,AST,9.1
15,STL,1.4
15,BLK,0.9
15,PTS,27.5
16,TRB,8.5
16,AST,8.3
16,STL,1.3
16,BLK,0.6
16,PTS,27.4
17,TRB,7.8
17,AST,10.2
17,STL,1.2
17,BLK,0.5
17,PTS,25.3
18,TRB,7.7
18,AST,7.8
18,STL,1.1
18,BLK,0.6
18,PTS,25
19,TRB,8.2
19,AST,6.2
19,STL,1.3
19,BLK,1.1
19,PTS,30.3
20,TRB,8.3
20,AST,6.8
20,STL,0.9
20,BLK,0.6
20,PTS,28.9
21,TRB,7.3
21,AST,8.3
21,STL,1.3
21,BLK,0.5
21,PTS,25.7
22,TRB,7.8
22,AST,8.2
22,STL,1
22,BLK,0.6
22,PTS,24.4
